"","Year","N","mid","Species"
"211","1972",0,2.5,"Sprattus sprattus"
"212","1972",72.147465437788,6.5,"Sprattus sprattus"
"213","1972",626.548387096774,10.5,"Sprattus sprattus"
"214","1972",382.861751152074,14.5,"Sprattus sprattus"
"215","1972",7.70046082949309,18.5,"Sprattus sprattus"
"216","1972",0,22.5,"Sprattus sprattus"
"217","1972",0,26.5,"Sprattus sprattus"
"218","1972",0,30.5,"Sprattus sprattus"
"219","1972",0,34.5,"Sprattus sprattus"
"220","1972",0,38.5,"Sprattus sprattus"
"221","1972",0,42.5,"Sprattus sprattus"
"222","1972",0,46.5,"Sprattus sprattus"
"223","1972",0,50.5,"Sprattus sprattus"
"224","1972",0,54.5,"Sprattus sprattus"
"225","1972",0,58.5,"Sprattus sprattus"
"226","1972",0,62.5,"Sprattus sprattus"
"227","1972",0,66.5,"Sprattus sprattus"
"228","1972",0,70.5,"Sprattus sprattus"
"229","1972",0,74.5,"Sprattus sprattus"
"230","1972",0,78.5,"Sprattus sprattus"
"231","1972",0,82.5,"Sprattus sprattus"
"232","1972",0,86.5,"Sprattus sprattus"
"233","1972",0,90.5,"Sprattus sprattus"
"234","1972",0,94.5,"Sprattus sprattus"
"235","1972",0,98.5,"Sprattus sprattus"
"236","1972",0,102.5,"Sprattus sprattus"
"237","1972",0,106.5,"Sprattus sprattus"
"238","1972",0,110.5,"Sprattus sprattus"
"239","1972",0,114.5,"Sprattus sprattus"
"240","1972",0,118.5,"Sprattus sprattus"
"241","1972",0,122.5,"Sprattus sprattus"
"242","1972",0,126.5,"Sprattus sprattus"
"243","1972",0,130.5,"Sprattus sprattus"
"244","1972",0,134.5,"Sprattus sprattus"
"245","1972",0,138.5,"Sprattus sprattus"
"246","1973",3.48989898989899,2.5,"Sprattus sprattus"
"247","1973",47.2373737373737,6.5,"Sprattus sprattus"
"248","1973",396.237373737374,10.5,"Sprattus sprattus"
"249","1973",373.080808080808,14.5,"Sprattus sprattus"
"250","1973",3.10606060606061,18.5,"Sprattus sprattus"
"251","1973",0,22.5,"Sprattus sprattus"
"252","1973",0,26.5,"Sprattus sprattus"
"253","1973",0,30.5,"Sprattus sprattus"
"254","1973",0,34.5,"Sprattus sprattus"
"255","1973",0,38.5,"Sprattus sprattus"
"256","1973",0,42.5,"Sprattus sprattus"
"257","1973",0,46.5,"Sprattus sprattus"
"258","1973",0,50.5,"Sprattus sprattus"
"259","1973",0,54.5,"Sprattus sprattus"
"260","1973",0,58.5,"Sprattus sprattus"
"261","1973",0,62.5,"Sprattus sprattus"
"262","1973",0,66.5,"Sprattus sprattus"
"263","1973",0,70.5,"Sprattus sprattus"
"264","1973",0,74.5,"Sprattus sprattus"
"265","1973",0,78.5,"Sprattus sprattus"
"266","1973",0,82.5,"Sprattus sprattus"
"267","1973",0,86.5,"Sprattus sprattus"
"268","1973",0,90.5,"Sprattus sprattus"
"269","1973",0,94.5,"Sprattus sprattus"
"270","1973",0,98.5,"Sprattus sprattus"
"271","1973",0,102.5,"Sprattus sprattus"
"272","1973",0,106.5,"Sprattus sprattus"
"273","1973",0,110.5,"Sprattus sprattus"
"274","1973",0,114.5,"Sprattus sprattus"
"275","1973",0,118.5,"Sprattus sprattus"
"276","1973",0,122.5,"Sprattus sprattus"
"277","1973",0,126.5,"Sprattus sprattus"
"278","1973",0,130.5,"Sprattus sprattus"
"279","1973",0,134.5,"Sprattus sprattus"
"280","1973",0,138.5,"Sprattus sprattus"
"281","1974",1.88970588235294,2.5,"Sprattus sprattus"
"282","1974",133.926470588235,6.5,"Sprattus sprattus"
"283","1974",1249.31985294118,10.5,"Sprattus sprattus"
"284","1974",651.533088235294,14.5,"Sprattus sprattus"
"285","1974",6.95220588235294,18.5,"Sprattus sprattus"
"286","1974",0,22.5,"Sprattus sprattus"
"287","1974",0,26.5,"Sprattus sprattus"
"288","1974",0,30.5,"Sprattus sprattus"
"289","1974",0,34.5,"Sprattus sprattus"
"290","1974",0,38.5,"Sprattus sprattus"
"291","1974",0,42.5,"Sprattus sprattus"
"292","1974",0,46.5,"Sprattus sprattus"
"293","1974",0,50.5,"Sprattus sprattus"
"294","1974",0,54.5,"Sprattus sprattus"
"295","1974",0,58.5,"Sprattus sprattus"
"296","1974",0,62.5,"Sprattus sprattus"
"297","1974",0,66.5,"Sprattus sprattus"
"298","1974",0,70.5,"Sprattus sprattus"
"299","1974",0,74.5,"Sprattus sprattus"
"300","1974",0,78.5,"Sprattus sprattus"
"301","1974",0,82.5,"Sprattus sprattus"
"302","1974",0,86.5,"Sprattus sprattus"
"303","1974",0,90.5,"Sprattus sprattus"
"304","1974",0,94.5,"Sprattus sprattus"
"305","1974",0,98.5,"Sprattus sprattus"
"306","1974",0,102.5,"Sprattus sprattus"
"307","1974",0,106.5,"Sprattus sprattus"
"308","1974",0,110.5,"Sprattus sprattus"
"309","1974",0,114.5,"Sprattus sprattus"
"310","1974",0,118.5,"Sprattus sprattus"
"311","1974",0,122.5,"Sprattus sprattus"
